timestamp,object,message
2026-07-16T17:16:32.407Z,openclaw-docker/openclaw-gateway,2026-07-16T17:16:32.406+00:00 [gateway] loading configuration…
2026-07-16T17:16:32.482Z,openclaw-docker/openclaw-gateway,2026-07-16T17:16:32.482+00:00 [gateway] resolving authentication…
2026-07-16T17:16:32.499Z,openclaw-docker/openclaw-gateway,2026-07-16T17:16:32.499+00:00 [gateway] starting...
2026-07-16T17:16:33.559Z,openclaw-docker/openclaw-gateway,2026-07-16T17:16:33.559+00:00 [gateway] starting HTTP server...
2026-07-16T17:16:33.564Z,openclaw-docker/openclaw-gateway,2026-07-16T17:16:33.563+00:00 [gateway] ⚠️  Gateway is binding to a non-loopback address. Ensure authentication is configured before exposing to public networks.
2026-07-16T17:16:33.720Z,openclaw-docker/openclaw-gateway,"2026-07-16T17:16:33.719+00:00 [health-monitor] started (interval: 300s, startup-grace: 60s, channel-connect-grace: 120s)"
2026-07-16T17:16:34.388Z,openclaw-docker/openclaw-gateway,"2026-07-16T17:16:34.388+00:00 [gateway] agent model: ollama-cloud/kimi-k2.5:cloud (thinking=medium, fast=off)"
2026-07-16T17:16:34.392Z,openclaw-docker/openclaw-gateway,"2026-07-16T17:16:34.391+00:00 [gateway] http server listening (8 plugins: browser, canvas, device-pair, file-transfer, memory-core, ollama, phone-control, talk-voice; 1.6s)"
2026-07-16T17:16:34.396Z,openclaw-docker/openclaw-gateway,2026-07-16T17:16:34.395+00:00 [gateway] log file: /tmp/openclaw/openclaw-2026-07-16.log
2026-07-16T17:16:34.484Z,openclaw-docker/openclaw-gateway,2026-07-16T17:16:34.483+00:00 [gateway] security warning: dangerous config flags enabled: gateway.controlUi.allowInsecureAuth=true. Run `openclaw security audit`.
2026-07-16T17:16:34.489Z,openclaw-docker/openclaw-gateway,2026-07-16T17:16:34.489+00:00 [gateway] starting channels and sidecars...
2026-07-16T17:16:34.599Z,openclaw-docker/openclaw-gateway,2026-07-16T17:16:34.599+00:00 [hooks] loaded 1 internal hook handler
2026-07-16T17:16:34.792Z,openclaw-docker/openclaw-gateway,2026-07-16T17:16:34.791+00:00 [gateway] ready
2026-07-16T17:16:34.823Z,openclaw-docker/openclaw-gateway,2026-07-16T17:16:34.822+00:00 [heartbeat] started
